layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,eff_rank_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
0,7,full_dim,128,2,256,2bit_budget,13,2.550441166320117e-05,0.003632684935610856,1.2705986696670777e-05,0.0036227542613255486,0.1796875
0,7,subspace_k64_fixed,64,4,256,2bit_budget,13,3.325294746987059e-06,0.001326714202487966,1.6367418444782554e-06,0.0013173703606411582,0.5078125
0,7,subspace_adaptive,13,20,260,2bit_budget,13,1.0910236148446262e-05,0.002397198378603703,5.329762064917298e-06,0.0023707472284916296,0.28515625
0,7,full_dim,128,4,512,4bit_budget,13,1.2001302941907183e-06,0.0007805492416794524,5.924308537561322e-07,0.0007759289628630403,0.73828125
0,7,subspace_k64_fixed,64,8,512,4bit_budget,13,2.6365016900799727e-06,0.001170046844516727,1.287008770840982e-06,0.001157108487437396,0.57421875
0,7,subspace_adaptive,13,39,507,4bit_budget,13,0.0009148648574497987,0.023741617624450963,3.092520735374216e-05,0.005687688676672391,0.0
1,0,full_dim,128,2,256,2bit_budget,27,4.61207902575495e-05,0.005308478826462548,2.2988029486180584e-05,0.005298347628701143,0.39453125
1,0,subspace_k64_fixed,64,4,256,2bit_budget,27,7.4595243719813934e-06,0.002125867025537188,3.6766793789998337e-06,0.002107313579492548,0.64453125
1,0,subspace_adaptive,27,9,243,2bit_budget,27,2.178935919439638e-05,0.00360212752404712,1.067994128834275e-05,0.003574947020791846,0.51171875
1,0,full_dim,128,4,512,4bit_budget,27,1.7656348967828002e-06,0.0010337267817856356,8.803105228706102e-07,0.0010321229559917273,0.86328125
1,0,subspace_k64_fixed,64,8,512,4bit_budget,27,5.566536928256098e-06,0.001832883816147745,2.742417216847e-06,0.0018176350509327187,0.70703125
1,0,subspace_adaptive,27,19,513,4bit_budget,27,2.1784866470107544e-05,0.0036018005970117842,1.0677866240000736e-05,0.003574706271105098,0.51953125
1,1,full_dim,128,2,256,2bit_budget,14,2.7554272114180344e-05,0.003980433945218718,1.3747961068579499e-05,0.003976011537596628,0.3125
1,1,subspace_k64_fixed,64,4,256,2bit_budget,14,2.6633489664256298e-06,0.0012452357573430354,1.3140732922533293e-06,0.0012374379885547438,0.71484375
1,1,subspace_adaptive,14,18,252,2bit_budget,14,1.0610432597920586e-05,0.002477276458992539,5.2442241783909785e-06,0.0024637228623668695,0.44140625
1,1,full_dim,128,4,512,4bit_budget,14,1.0654156971274356e-06,0.0007917416996042857,5.318781287855509e-07,0.0007911338296105449,0.81640625
1,1,subspace_k64_fixed,64,8,512,4bit_budget,14,1.5256597653479297e-06,0.0009506279777836035,7.56287231322065e-07,0.0009459712017414466,0.73828125
1,1,subspace_adaptive,14,37,518,4bit_budget,14,0.000939218968177266,0.02443089955781602,3.82468270809538e-05,0.006561829949984438,0.00390625
1,2,full_dim,128,2,256,2bit_budget,14,3.150252858150308e-05,0.004312564582129563,1.5720230707761535e-05,0.004308600211328683,0.484375
1,2,subspace_k64_fixed,64,4,256,2bit_budget,14,3.4261180088312013e-06,0.0014156871727565759,1.6994128550660338e-06,0.00141107369839217,0.78515625
1,2,subspace_adaptive,14,18,252,2bit_budget,14,1.3256028848306691e-05,0.0027817188035159004,6.591053903545222e-06,0.002773943156525783,0.53125
1,2,full_dim,128,4,512,4bit_budget,14,1.299488411203746e-06,0.0008773879351116798,6.488856611427325e-07,0.0008764253952009316,0.87890625
1,2,subspace_k64_fixed,64,8,512,4bit_budget,14,2.1213158788426717e-06,0.001098719643382112,1.05503506904598e-06,0.0010960722449818295,0.86328125
1,2,subspace_adaptive,14,37,518,4bit_budget,14,0.0023440709306842703,0.038366047699067096,7.422462943613547e-05,0.008983640892431184,0.0078125
1,3,full_dim,128,2,256,2bit_budget,10,3.059877377896825e-05,0.004171785923540663,1.527498659906903e-05,0.0041675784508445664,0.33984375
1,3,subspace_k64_fixed,64,4,256,2bit_budget,10,2.8226672717153207e-06,0.0012520142101443924,1.4052488498272153e-06,0.0012491923256628898,0.72265625
