config,position,loss,ppl
baseline,154,2.53125,12.5703125
baseline,155,0.09503173828125,1.099609375
baseline,156,1.033203125,2.810546875
baseline,157,1.9677734375,7.15625
baseline,158,0.6591796875,1.93359375
baseline,159,1.4189453125,4.1328125
baseline,160,0.080322265625,1.083984375
baseline,161,0.109619140625,1.1162109375
baseline,162,0.2381591796875,1.2685546875
baseline,163,0.0870361328125,1.0908203125
baseline,164,0.0007977485656738281,1.0009765625
baseline,165,0.205078125,1.2275390625
baseline,166,1.7705078125,5.875
baseline,167,0.6123046875,1.8447265625
baseline,168,0.20263671875,1.224609375
baseline,169,4.1171875,61.375
baseline,170,1.044921875,2.84375
baseline,171,0.282958984375,1.3271484375
baseline,172,0.5107421875,1.6669921875
baseline,173,3.658203125,38.78125
baseline,174,0.498046875,1.6455078125
baseline,175,0.59130859375,1.806640625
baseline,176,2.2734375,9.7109375
baseline,177,2.361328125,10.6015625
baseline,178,0.88232421875,2.416015625
baseline,179,0.2454833984375,1.2783203125
baseline,180,0.081298828125,1.0849609375
baseline,181,0.055511474609375,1.056640625
baseline,182,0.408447265625,1.5048828125
baseline,183,0.015380859375,1.015625
baseline,184,0.96337890625,2.62109375
baseline,185,1.376953125,3.962890625
baseline,186,0.00888824462890625,1.0087890625
baseline,187,0.0145111083984375,1.0146484375
baseline,188,0.0008797645568847656,1.0009765625
baseline,189,2.2649765014648438e-06,1.0
baseline,190,0.0008258819580078125,1.0009765625
baseline,191,3.5762786865234375e-06,1.0
baseline,192,0.89599609375,2.44921875
baseline,193,3.28125,26.609375
baseline,194,0.106689453125,1.1123046875
baseline,195,6.73046875,837.5
baseline,196,0.020172119140625,1.0205078125
baseline,197,0.033721923828125,1.0341796875
baseline,198,4.484375,88.625
baseline,199,6.33203125,562.5
baseline,200,0.541015625,1.7177734375
baseline,201,0.283203125,1.3271484375
baseline,202,4.2578125,70.625
baseline,203,1.38671875,4.0
baseline,204,1.408203125,4.08984375
baseline,205,1.0263671875,2.791015625
baseline,206,0.483642578125,1.6220703125
baseline,207,4.52734375,92.5
baseline,208,0.01239013671875,1.0126953125
baseline,209,0.00771331787109375,1.0078125
baseline,210,5.3984375,221.0
baseline,211,0.040283203125,1.041015625
baseline,212,3.5762786865234375e-06,1.0
baseline,213,3.9296875,50.90625
baseline,214,15.3984375,inf
baseline,215,0.058441162109375,1.060546875
baseline,216,3.1171875,22.578125
baseline,217,4.53515625,93.25
baseline,218,0.484375,1.623046875
baseline,219,0.42138671875,1.5244140625
baseline,220,6.2265625,506.0
baseline,221,0.7587890625,2.134765625
baseline,222,5.17578125,176.875
baseline,223,0.0003170967102050781,1.0
baseline,224,0.004070281982421875,1.00390625
baseline,225,0.51904296875,1.6806640625
baseline,226,4.45703125,86.25
baseline,227,0.7373046875,2.08984375
baseline,228,0.90087890625,2.4609375
baseline,229,0.342041015625,1.408203125
baseline,230,0.580078125,1.7861328125
baseline,231,3.15625,23.484375
baseline,232,2.376953125,10.7734375
baseline,233,5.78515625,325.5
baseline,234,3.142578125,23.15625
baseline,235,6.66796875,787.0
baseline,236,8.140625,3432.0
baseline,237,0.01061248779296875,1.0107421875
baseline,238,2.216796875,9.1796875
baseline,239,7.97265625,2900.0
baseline,240,0.281982421875,1.326171875
baseline,241,2.0390625,7.68359375
baseline,242,0.20849609375,1.2314453125
baseline,243,3.408203125,30.203125
baseline,244,5.625,277.25
baseline,245,0.006481170654296875,1.0068359375
baseline,246,0.0904541015625,1.0947265625
baseline,247,1.0654296875,2.90234375
baseline,248,9.0078125,8168.0
baseline,249,0.0017452239990234375,1.001953125
baseline,250,0.234619140625,1.2646484375
baseline,251,0.0135345458984375,1.013671875
baseline,252,1.1920928955078125e-07,1.0
baseline,253,0.020599365234375,1.0205078125
baseline,254,5.125999450683594e-05,1.0
baseline,255,9.7265625,16752.0
baseline,256,2.80859375,16.59375
baseline,257,0.08673095703125,1.0908203125
baseline,258,8.5,4916.0
baseline,259,0.93115234375,2.537109375
baseline,260,0.002223968505859375,1.001953125
baseline,261,0.33984375,1.404296875
baseline,262,6.765625,867.5
baseline,263,0.185302734375,1.203125
baseline,264,2.595703125,13.40625
baseline,265,3.439453125,31.171875
baseline,266,1.1318359375,3.1015625
baseline,267,0.0003364086151123047,1.0
baseline,268,0.00016021728515625,1.0
baseline,269,0.06549072265625,1.0673828125
baseline,270,7.3203125,1511.0
baseline,271,3.88671875,48.75
baseline,272,0.03228759765625,1.033203125
baseline,273,0.0478515625,1.048828125
baseline,274,0.482421875,1.6201171875
baseline,275,2.712890625,15.0703125
baseline,276,0.489013671875,1.630859375
baseline,277,1.4599609375,4.3046875
baseline,278,0.218017578125,1.2431640625
baseline,279,1.859375,6.41796875
baseline,280,0.2366943359375,1.2666015625
baseline,281,0.0014524459838867188,1.0009765625
baseline,282,1.1923828125,3.294921875
baseline,283,0.156982421875,1.169921875
baseline,284,0.032135009765625,1.0322265625
baseline,285,0.8359375,2.306640625
baseline,286,1.3720703125,3.943359375
baseline,287,0.7626953125,2.14453125
baseline,288,1.296875,3.658203125
baseline,289,2.66015625,14.296875
baseline,290,0.027740478515625,1.0283203125
baseline,291,0.364990234375,1.4404296875
baseline,292,3.17578125,23.953125
baseline,293,1.8076171875,6.09765625
baseline,294,1.115234375,3.05078125
baseline,295,0.2371826171875,1.267578125
baseline,296,0.007122039794921875,1.0068359375
baseline,297,0.724609375,2.064453125
baseline,298,6.30859375,549.5
baseline,299,4.291534423828125e-06,1.0
baseline,300,0.03460693359375,1.03515625
baseline,301,0.00988006591796875,1.009765625
baseline,302,0.0005941390991210938,1.0009765625
baseline,303,6.453125,634.5
baseline,304,5.34765625,210.125
baseline,305,3.419921875,30.5625
baseline,306,0.25830078125,1.294921875
baseline,307,0.00936126708984375,1.009765625
baseline,308,5.924701690673828e-05,1.0
baseline,309,4.6328125,102.8125
baseline,310,0.003559112548828125,1.00390625
baseline,311,3.689453125,40.03125
baseline,312,6.828125,923.5
baseline,313,1.2392578125,3.453125
baseline,314,0.28515625,1.330078125
baseline,315,0.06793212890625,1.0703125
baseline,316,0.00010371208190917969,1.0
baseline,317,1.0517578125,2.86328125
baseline,318,12.4921875,inf
baseline,319,3.15234375,23.390625
baseline,320,7.236003875732422e-05,1.0
baseline,321,1.35546875,3.87890625
baseline,322,1.9921875,7.33203125
baseline,323,0.366455078125,1.4423828125
baseline,324,8.4140625,4512.0
baseline,325,0.0692138671875,1.0712890625
baseline,326,2.455078125,11.6484375
baseline,327,1.8544921875,6.38671875
baseline,328,5.7265625,307.0
baseline,329,1.46875,4.34375
baseline,330,0.390869140625,1.478515625
baseline,331,0.2000732421875,1.2216796875
baseline,332,4.140625,62.84375
baseline,333,2.4921875,12.0859375
baseline,334,0.332275390625,1.39453125
baseline,335,2.70703125,14.984375
baseline,336,0.05712890625,1.05859375
baseline,337,1.361328125,3.90234375
baseline,338,0.168212890625,1.18359375
baseline,339,7.033348083496094e-06,1.0
baseline,340,1.01953125,2.771484375
baseline,341,3.77734375,43.6875
baseline,342,2.40625,11.09375
baseline,343,0.5390625,1.71484375
baseline,344,1.75,5.75390625
baseline,345,1.4921875,4.4453125
baseline,346,3.4921875,32.84375
baseline,347,4.89453125,133.5
baseline,348,3.185546875,24.1875
baseline,349,5.265625,193.625
baseline,350,3.603515625,36.71875
baseline,351,0.0012826919555664062,1.0009765625
baseline,352,3.955078125,52.1875
baseline,353,0.0079803466796875,1.0078125
baseline,354,3.063678741455078e-05,1.0
baseline,355,2.396484375,10.984375
baseline,356,0.054443359375,1.0556640625
baseline,357,0.609375,1.8388671875
baseline,358,7.421875,1672.0
baseline,359,1.849609375,6.35546875
baseline,360,4.172325134277344e-06,1.0
baseline,361,0.10052490234375,1.10546875
baseline,362,0.1685791015625,1.18359375
baseline,363,3.7890625,44.21875
baseline,364,2.453125,11.625
baseline,365,0.6513671875,1.91796875
baseline,366,1.517578125,4.5625
