budget_k,baseline_ppl,uniform_k,uniform_mean_k,uniform_ppl,uniform_rel_ppl,uniform_k_cr,uniform_combined_cr,greedy_mean_k,greedy_ppl,greedy_rel_ppl,greedy_k_cr,greedy_combined_cr,rank_mean_k,rank_ppl,rank_rel_ppl,rank_k_cr,rank_combined_cr
80,10.6155074171356,80,80.0,20.3780797759166,1.9196519747159906,6.4,4.923,87.6,14.60808704208458,1.376108222439197,5.845,4.75,82.0,15.171456903730768,1.4291786824284003,6.244,4.876
88,10.6155074171356,80,80.0,20.3780797759166,1.9196519747159906,6.4,4.923,95.6,13.22295666691687,1.2456264356777063,5.356,4.58,88.0,13.732868824000967,1.2936610832029856,5.818,4.741
96,10.6155074171356,96,96.0,13.030638597556681,1.2275097256794871,5.333,4.571,96.0,13.030638597556681,1.2275097256794871,5.333,4.571,96.0,12.50076490910973,1.1775946657934542,5.333,4.571
104,10.6155074171356,96,96.0,13.030638597556681,1.2275097256794871,5.333,4.571,96.4,12.907175613542801,1.2158792892658132,5.311,4.563,104.0,12.403406278513518,1.16842330668922,4.923,4.414
112,10.6155074171356,112,112.0,12.235052443195974,1.1525640708842704,4.571,4.267,104.4,12.046790401127723,1.134829445993485,4.904,4.406,110.0,12.018904078930902,1.1322025040018278,4.655,4.303
