target_sparsity,actual_sparsity,acc_before_finetune,acc_after_finetune,layer1_sparsity,layer2_sparsity,layer3_sparsity
0.0000,0.0000,0.9757,0.9757,0.0000,0.0000,0.0000
0.2500,0.2470,0.9731,0.9786,0.2465,0.2509,0.2500
0.4000,0.3981,0.9002,0.9806,0.3977,0.4015,0.4010
0.5000,0.5032,0.8752,0.9805,0.5039,0.4971,0.5010
0.6000,0.6006,0.8545,0.9800,0.6008,0.5989,0.6030
0.7000,0.6991,0.7157,0.9757,0.6989,0.7009,0.6960
0.8000,0.8007,0.4633,0.9565,0.8003,0.8034,0.7990
