n,T_h,rho,hamming_mean,hamming_std
1,0.001,0.0,0.5458333333333334,0.023199018178458417
1,0.001,0.00013333333333333334,0.45416666666666666,0.04982608642958917
1,0.001,0.0002666666666666667,0.3958333333333333,0.06705615391429619
1,0.001,0.0004,0.35,0.054645321035850014
1,0.001,0.0005333333333333334,0.29583333333333334,0.03886407938787005
1,0.001,0.0006666666666666668,0.33958333333333335,0.04077163706412694
1,0.001,0.0008,0.3354166666666667,0.05678755487682922
1,0.001,0.0009333333333333333,0.3270833333333333,0.03903123748998999
1,0.001,0.0010666666666666667,0.3020833333333333,0.042847841252506534
1,0.001,0.0012000000000000001,0.3354166666666667,0.06260408000548633
1,0.001,0.0013333333333333335,0.3104166666666667,0.02626983377691352
1,0.001,0.0014666666666666667,0.32083333333333336,0.046955948623269364
1,0.001,0.0016,0.32708333333333334,0.07213870705491994
1,0.001,0.0017333333333333335,0.31875,0.07043392293490403
1,0.001,0.0018666666666666666,0.35833333333333334,0.05833333333333334
1,0.001,0.002,0.3208333333333333,0.059365861869895856
1,0.003,0.0,0.54375,0.05266343608235224
1,0.003,0.00013333333333333334,0.5645833333333333,0.048902894142939586
1,0.003,0.0002666666666666667,0.5666666666666667,0.03632415786283894
1,0.003,0.0004,0.5562500000000001,0.05199993322645286
1,0.003,0.0005333333333333334,0.5125000000000001,0.050518148554092264
1,0.003,0.0006666666666666668,0.5125,0.04389855730355309
1,0.003,0.0008,0.46875,0.07612010794352128
1,0.003,0.0009333333333333333,0.45416666666666666,0.03510895738823482
1,0.003,0.0010666666666666667,0.4041666666666667,0.02465033242958174
1,0.003,0.0012000000000000001,0.4208333333333334,0.06548430685625714
1,0.003,0.0013333333333333335,0.4395833333333333,0.03720952312394116
1,0.003,0.0014666666666666667,0.40625,0.02755990949025616
1,0.003,0.0016,0.4,0.05137011669140815
1,0.003,0.0017333333333333335,0.4,0.05651941652604391
1,0.003,0.0018666666666666666,0.39583333333333337,0.03886407938787008
