rho,participation_ratio,top5_variance_frac,mean_pairwise_cos_sim
0,4.722289569904935,0.9999820489977495,0.20697928540968938
5e-05,4.722845788744115,0.9999819863685137,0.2071485729991756
0.0001,4.718177561253598,0.999988392432119,0.2087608047481992
0.0002,4.717480909849433,0.9999222580549534,0.21003622874270664
0.0005,4.709127547959395,0.9994618628519736,0.2130960236946556
