layer_a,layer_b,head_a,head_b,kv_type,metric_type,k_a,k_b,subspace_overlap
0,0,5,7,K,cross_head,12,13,0.3762003183364868
0,0,6,7,K,cross_head,15,13,0.3396948575973511
1,1,0,1,K,cross_head,27,14,0.3118268847465515
1,1,0,2,K,cross_head,27,14,0.28162699937820435
1,1,0,3,K,cross_head,27,10,0.266059547662735
1,1,0,4,K,cross_head,27,11,0.23401860892772675
1,1,0,5,K,cross_head,27,18,0.31634122133255005
1,1,0,6,K,cross_head,27,14,0.2685519754886627
1,1,0,7,K,cross_head,27,26,0.35880836844444275
1,1,1,2,K,cross_head,14,14,0.2913247048854828
1,1,1,3,K,cross_head,14,10,0.275216281414032
1,1,1,4,K,cross_head,14,11,0.2521785497665405
1,1,1,5,K,cross_head,14,18,0.2873545289039612
1,1,1,6,K,cross_head,14,14,0.30189207196235657
1,1,1,7,K,cross_head,14,26,0.28130170702934265
1,1,2,3,K,cross_head,14,10,0.2603303790092468
1,1,2,4,K,cross_head,14,11,0.2451735883951187
1,1,2,5,K,cross_head,14,18,0.2915588319301605
1,1,2,6,K,cross_head,14,14,0.3059486448764801
1,1,2,7,K,cross_head,14,26,0.2704973518848419
1,1,3,4,K,cross_head,10,11,0.2260529100894928
1,1,3,5,K,cross_head,10,18,0.25158411264419556
1,1,3,6,K,cross_head,10,14,0.24642498791217804
1,1,3,7,K,cross_head,10,26,0.2129426747560501
1,1,4,5,K,cross_head,11,18,0.27309080958366394
1,1,4,6,K,cross_head,11,14,0.23264910280704498
1,1,4,7,K,cross_head,11,26,0.22771185636520386
1,1,5,6,K,cross_head,18,14,0.3107307255268097
1,1,5,7,K,cross_head,18,26,0.2886139452457428
1,1,6,7,K,cross_head,14,26,0.26855161786079407
2,2,0,1,K,cross_head,11,15,0.2827630341053009
2,2,0,2,K,cross_head,11,22,0.2533619701862335
2,2,0,3,K,cross_head,11,20,0.2754018008708954
2,2,0,4,K,cross_head,11,27,0.23861528933048248
2,2,0,5,K,cross_head,11,31,0.2497861534357071
2,2,0,6,K,cross_head,11,19,0.29238784313201904
2,2,0,7,K,cross_head,11,24,0.24293819069862366
2,2,1,2,K,cross_head,15,22,0.3695331811904907
2,2,1,3,K,cross_head,15,20,0.3595571219921112
2,2,1,4,K,cross_head,15,27,0.32357528805732727
2,2,1,5,K,cross_head,15,31,0.34176987409591675
2,2,1,6,K,cross_head,15,19,0.31405359506607056
2,2,1,7,K,cross_head,15,24,0.24572938680648804
2,2,2,3,K,cross_head,22,20,0.351944237947464
2,2,2,4,K,cross_head,22,27,0.3766237497329712
2,2,2,5,K,cross_head,22,31,0.4049045741558075
2,2,2,6,K,cross_head,22,19,0.3696558475494385
2,2,2,7,K,cross_head,22,24,0.32704976201057434
2,2,3,4,K,cross_head,20,27,0.3884110450744629
2,2,3,5,K,cross_head,20,31,0.3926047682762146
2,2,3,6,K,cross_head,20,19,0.33621111512184143
2,2,3,7,K,cross_head,20,24,0.2573419511318207
2,2,4,5,K,cross_head,27,31,0.42519405484199524
2,2,4,6,K,cross_head,27,19,0.34415188431739807
2,2,4,7,K,cross_head,27,24,0.28566303849220276
2,2,5,6,K,cross_head,31,19,0.33706340193748474
2,2,5,7,K,cross_head,31,24,0.31660592555999756
2,2,6,7,K,cross_head,19,24,0.3411064147949219
3,3,0,1,K,cross_head,27,22,0.32077357172966003
3,3,0,2,K,cross_head,27,21,0.382883757352829
3,3,0,3,K,cross_head,27,21,0.36982694268226624
3,3,0,4,K,cross_head,27,23,0.42647671699523926
3,3,0,5,K,cross_head,27,19,0.27958381175994873
3,3,0,6,K,cross_head,27,22,0.3606981933116913
3,3,0,7,K,cross_head,27,28,0.5410636067390442
3,3,1,2,K,cross_head,22,21,0.32080531120300293
3,3,1,3,K,cross_head,22,21,0.33769455552101135
3,3,1,4,K,cross_head,22,23,0.3483179807662964
3,3,1,5,K,cross_head,22,19,0.342643678188324
3,3,1,6,K,cross_head,22,22,0.35495293140411377
3,3,1,7,K,cross_head,22,28,0.3209947347640991
3,3,2,3,K,cross_head,21,21,0.36316752433776855
3,3,2,4,K,cross_head,21,23,0.39048656821250916
3,3,2,5,K,cross_head,21,19,0.3313322961330414
3,3,2,6,K,cross_head,21,22,0.36397337913513184
3,3,2,7,K,cross_head,21,28,0.41178908944129944
3,3,3,4,K,cross_head,21,23,0.36613667011260986
3,3,3,5,K,cross_head,21,19,0.33333516120910645
3,3,3,6,K,cross_head,21,22,0.3890390396118164
3,3,3,7,K,cross_head,21,28,0.36139681935310364
3,3,4,5,K,cross_head,23,19,0.30985721945762634
3,3,4,6,K,cross_head,23,22,0.3736417889595032
3,3,4,7,K,cross_head,23,28,0.43877509236335754
3,3,5,6,K,cross_head,19,22,0.3406093716621399
3,3,5,7,K,cross_head,19,28,0.2824915945529938
3,3,6,7,K,cross_head,22,28,0.36574268341064453
4,4,0,1,K,cross_head,20,22,0.340122252702713
4,4,0,2,K,cross_head,20,31,0.34218883514404297
4,4,0,3,K,cross_head,20,22,0.3608338236808777
4,4,0,4,K,cross_head,20,17,0.32981619238853455
4,4,0,5,K,cross_head,20,14,0.3472674787044525
4,4,0,6,K,cross_head,20,21,0.35799625515937805
4,4,0,7,K,cross_head,20,22,0.3427685499191284
4,4,1,2,K,cross_head,22,31,0.32265928387641907
4,4,1,3,K,cross_head,22,22,0.3788953721523285
4,4,1,4,K,cross_head,22,17,0.3400857150554657
4,4,1,5,K,cross_head,22,14,0.3349277079105377
4,4,1,6,K,cross_head,22,21,0.3834644556045532
4,4,1,7,K,cross_head,22,22,0.39202260971069336
4,4,2,3,K,cross_head,31,22,0.33684664964675903
4,4,2,4,K,cross_head,31,17,0.3106643855571747
4,4,2,5,K,cross_head,31,14,0.26679113507270813
4,4,2,6,K,cross_head,31,21,0.3355608880519867
4,4,2,7,K,cross_head,31,22,0.3418143391609192
4,4,3,4,K,cross_head,22,17,0.34042948484420776
4,4,3,5,K,cross_head,22,14,0.3710915148258209
4,4,3,6,K,cross_head,22,21,0.36907827854156494
4,4,3,7,K,cross_head,22,22,0.37191590666770935
4,4,4,5,K,cross_head,17,14,0.34909552335739136
4,4,4,6,K,cross_head,17,21,0.3584056794643402
4,4,4,7,K,cross_head,17,22,0.35551726818084717
4,4,5,6,K,cross_head,14,21,0.3274882435798645
4,4,5,7,K,cross_head,14,22,0.34296780824661255
4,4,6,7,K,cross_head,21,22,0.3867442309856415
5,5,0,1,K,cross_head,23,28,0.42454737424850464
5,5,0,2,K,cross_head,23,20,0.23774075508117676
5,5,0,3,K,cross_head,23,32,0.5706573724746704
5,5,0,4,K,cross_head,23,28,0.32261496782302856
5,5,0,5,K,cross_head,23,9,0.19830042123794556
5,5,0,6,K,cross_head,23,17,0.30938348174095154
5,5,0,7,K,cross_head,23,18,0.3374987840652466
5,5,1,2,K,cross_head,28,20,0.3255632519721985
5,5,1,3,K,cross_head,28,32,0.4254748225212097
5,5,1,4,K,cross_head,28,28,0.41471055150032043
5,5,1,5,K,cross_head,28,9,0.24488677084445953
5,5,1,6,K,cross_head,28,17,0.3476200997829437
5,5,1,7,K,cross_head,28,18,0.3372408151626587
5,5,2,3,K,cross_head,20,32,0.2600133419036865
5,5,2,4,K,cross_head,20,28,0.3388651907444
5,5,2,5,K,cross_head,20,9,0.2917954921722412
5,5,2,6,K,cross_head,20,17,0.3445967733860016
5,5,2,7,K,cross_head,20,18,0.3233124911785126
5,5,3,4,K,cross_head,32,28,0.3876330852508545
5,5,3,5,K,cross_head,32,9,0.17172053456306458
5,5,3,6,K,cross_head,32,17,0.2880468964576721
5,5,3,7,K,cross_head,32,18,0.319672167301178
5,5,4,5,K,cross_head,28,9,0.23578399419784546
5,5,4,6,K,cross_head,28,17,0.3319036364555359
5,5,4,7,K,cross_head,28,18,0.30105435848236084
5,5,5,6,K,cross_head,9,17,0.24964362382888794
5,5,5,7,K,cross_head,9,18,0.25622543692588806
5,5,6,7,K,cross_head,17,18,0.3303670883178711
6,6,0,1,K,cross_head,22,7,0.2148905098438263
6,6,0,2,K,cross_head,22,22,0.35115811228752136
6,6,0,3,K,cross_head,22,27,0.35990554094314575
6,6,0,4,K,cross_head,22,26,0.3600061237812042
6,6,0,5,K,cross_head,22,18,0.33378997445106506
6,6,0,6,K,cross_head,22,29,0.3817690908908844
6,6,0,7,K,cross_head,22,17,0.359164834022522
6,6,1,2,K,cross_head,7,22,0.24338527023792267
6,6,1,3,K,cross_head,7,27,0.2191775143146515
6,6,1,4,K,cross_head,7,26,0.22059212625026703
6,6,1,5,K,cross_head,7,18,0.2064959555864334
6,6,1,6,K,cross_head,7,29,0.160133957862854
6,6,1,7,K,cross_head,7,17,0.23521019518375397
6,6,2,3,K,cross_head,22,27,0.35306861996650696
6,6,2,4,K,cross_head,22,26,0.4009729325771332
6,6,2,5,K,cross_head,22,18,0.3090791702270508
6,6,2,6,K,cross_head,22,29,0.3579651117324829
6,6,2,7,K,cross_head,22,17,0.34931328892707825
6,6,3,4,K,cross_head,27,26,0.3946066200733185
6,6,3,5,K,cross_head,27,18,0.35481417179107666
6,6,3,6,K,cross_head,27,29,0.34973618388175964
6,6,3,7,K,cross_head,27,17,0.2993963062763214
6,6,4,5,K,cross_head,26,18,0.35947635769844055
6,6,4,6,K,cross_head,26,29,0.3818475008010864
6,6,4,7,K,cross_head,26,17,0.3840162456035614
6,6,5,6,K,cross_head,18,29,0.31609636545181274
6,6,5,7,K,cross_head,18,17,0.3283916413784027
6,6,6,7,K,cross_head,29,17,0.3391325771808624
7,7,0,1,K,cross_head,36,24,0.41949376463890076
7,7,0,2,K,cross_head,36,31,0.38951483368873596
7,7,0,3,K,cross_head,36,23,0.4267271161079407
7,7,0,4,K,cross_head,36,36,0.45180192589759827
7,7,0,5,K,cross_head,36,20,0.37594932317733765
7,7,0,6,K,cross_head,36,22,0.4114432632923126
7,7,0,7,K,cross_head,36,18,0.3579680621623993
7,7,1,2,K,cross_head,24,31,0.36498865485191345
7,7,1,3,K,cross_head,24,23,0.4231211245059967
7,7,1,4,K,cross_head,24,36,0.4148436486721039
7,7,1,5,K,cross_head,24,20,0.3648888170719147
7,7,1,6,K,cross_head,24,22,0.3951473534107208
7,7,1,7,K,cross_head,24,18,0.37755322456359863
7,7,2,3,K,cross_head,31,23,0.3595213294029236
7,7,2,4,K,cross_head,31,36,0.4551713466644287
7,7,2,5,K,cross_head,31,20,0.34923481941223145
7,7,2,6,K,cross_head,31,22,0.3432586193084717
7,7,2,7,K,cross_head,31,18,0.33813586831092834
