layer_a,layer_b,head_a,head_b,kv_type,metric_type,k_a,k_b,subspace_overlap
14,14,0,7,K,cross_head,25,31,0.38490647077560425
14,14,1,2,K,cross_head,24,31,0.3674415647983551
14,14,1,3,K,cross_head,24,16,0.32840055227279663
14,14,1,4,K,cross_head,24,26,0.403324156999588
14,14,1,5,K,cross_head,24,22,0.39032450318336487
14,14,1,6,K,cross_head,24,28,0.3938124179840088
14,14,1,7,K,cross_head,24,31,0.37962794303894043
14,14,2,3,K,cross_head,31,16,0.33750343322753906
14,14,2,4,K,cross_head,31,26,0.32309213280677795
14,14,2,5,K,cross_head,31,22,0.38895556330680847
14,14,2,6,K,cross_head,31,28,0.40310582518577576
14,14,2,7,K,cross_head,31,31,0.4399973154067993
14,14,3,4,K,cross_head,16,26,0.25081807374954224
14,14,3,5,K,cross_head,16,22,0.36703115701675415
14,14,3,6,K,cross_head,16,28,0.3241539001464844
14,14,3,7,K,cross_head,16,31,0.31331324577331543
14,14,4,5,K,cross_head,26,22,0.3105504512786865
14,14,4,6,K,cross_head,26,28,0.40453752875328064
14,14,4,7,K,cross_head,26,31,0.33263760805130005
14,14,5,6,K,cross_head,22,28,0.36224067211151123
14,14,5,7,K,cross_head,22,31,0.3891107738018036
14,14,6,7,K,cross_head,28,31,0.411403626203537
15,15,0,1,K,cross_head,23,30,0.40959081053733826
15,15,0,2,K,cross_head,23,28,0.39883917570114136
15,15,0,3,K,cross_head,23,24,0.3958328068256378
15,15,0,4,K,cross_head,23,28,0.42317187786102295
15,15,0,5,K,cross_head,23,20,0.3781920373439789
15,15,0,6,K,cross_head,23,34,0.3741104304790497
15,15,0,7,K,cross_head,23,32,0.36186251044273376
15,15,1,2,K,cross_head,30,28,0.40181639790534973
15,15,1,3,K,cross_head,30,24,0.4231956899166107
15,15,1,4,K,cross_head,30,28,0.5175266861915588
15,15,1,5,K,cross_head,30,20,0.42383164167404175
15,15,1,6,K,cross_head,30,34,0.43056175112724304
15,15,1,7,K,cross_head,30,32,0.40850159525871277
15,15,2,3,K,cross_head,28,24,0.40889987349510193
15,15,2,4,K,cross_head,28,28,0.40217992663383484
15,15,2,5,K,cross_head,28,20,0.33941784501075745
15,15,2,6,K,cross_head,28,34,0.45743995904922485
15,15,2,7,K,cross_head,28,32,0.4272707402706146
15,15,3,4,K,cross_head,24,28,0.4568953514099121
15,15,3,5,K,cross_head,24,20,0.4141172766685486
15,15,3,6,K,cross_head,24,34,0.40202856063842773
15,15,3,7,K,cross_head,24,32,0.37061619758605957
15,15,4,5,K,cross_head,28,20,0.4724411070346832
15,15,4,6,K,cross_head,28,34,0.36072680354118347
15,15,4,7,K,cross_head,28,32,0.34709566831588745
15,15,5,6,K,cross_head,20,34,0.33069807291030884
15,15,5,7,K,cross_head,20,32,0.3052343428134918
15,15,6,7,K,cross_head,34,32,0.46937036514282227
16,16,0,1,K,cross_head,28,21,0.3499234616756439
16,16,0,2,K,cross_head,28,26,0.38652098178863525
16,16,0,3,K,cross_head,28,26,0.4124910235404968
16,16,0,4,K,cross_head,28,37,0.4113602638244629
16,16,0,5,K,cross_head,28,30,0.4060238301753998
16,16,0,6,K,cross_head,28,34,0.3872949481010437
16,16,0,7,K,cross_head,28,25,0.326273113489151
16,16,1,2,K,cross_head,21,26,0.3996596038341522
16,16,1,3,K,cross_head,21,26,0.37519708275794983
16,16,1,4,K,cross_head,21,37,0.36125898361206055
16,16,1,5,K,cross_head,21,30,0.3800913393497467
16,16,1,6,K,cross_head,21,34,0.39626121520996094
16,16,1,7,K,cross_head,21,25,0.389915406703949
16,16,2,3,K,cross_head,26,26,0.42471516132354736
16,16,2,4,K,cross_head,26,37,0.4126420021057129
16,16,2,5,K,cross_head,26,30,0.44590964913368225
16,16,2,6,K,cross_head,26,34,0.4435310363769531
16,16,2,7,K,cross_head,26,25,0.4903786778450012
16,16,3,4,K,cross_head,26,37,0.3900661766529083
16,16,3,5,K,cross_head,26,30,0.4180324673652649
16,16,3,6,K,cross_head,26,34,0.42314907908439636
16,16,3,7,K,cross_head,26,25,0.3904840052127838
16,16,4,5,K,cross_head,37,30,0.43126729130744934
16,16,4,6,K,cross_head,37,34,0.47088050842285156
16,16,4,7,K,cross_head,37,25,0.40392735600471497
16,16,5,6,K,cross_head,30,34,0.4620361328125
16,16,5,7,K,cross_head,30,25,0.437399297952652
16,16,6,7,K,cross_head,34,25,0.5103675723075867
17,17,0,1,K,cross_head,25,23,0.5770952105522156
17,17,0,2,K,cross_head,25,30,0.45188143849372864
17,17,0,3,K,cross_head,25,21,0.3900755047798157
17,17,0,4,K,cross_head,25,29,0.46251314878463745
17,17,0,5,K,cross_head,25,29,0.5462407469749451
17,17,0,6,K,cross_head,25,25,0.5014516711235046
17,17,0,7,K,cross_head,25,34,0.4789982736110687
17,17,1,2,K,cross_head,23,30,0.4567197263240814
17,17,1,3,K,cross_head,23,21,0.35960492491722107
17,17,1,4,K,cross_head,23,29,0.44935014843940735
17,17,1,5,K,cross_head,23,29,0.5906272530555725
17,17,1,6,K,cross_head,23,25,0.5292159914970398
17,17,1,7,K,cross_head,23,34,0.49789029359817505
17,17,2,3,K,cross_head,30,21,0.39910998940467834
17,17,2,4,K,cross_head,30,29,0.45649152994155884
17,17,2,5,K,cross_head,30,29,0.4740579128265381
17,17,2,6,K,cross_head,30,25,0.42945578694343567
17,17,2,7,K,cross_head,30,34,0.459228515625
17,17,3,4,K,cross_head,21,29,0.40417590737342834
17,17,3,5,K,cross_head,21,29,0.4077775180339813
17,17,3,6,K,cross_head,21,25,0.412320077419281
17,17,3,7,K,cross_head,21,34,0.39006364345550537
17,17,4,5,K,cross_head,29,29,0.48182111978530884
17,17,4,6,K,cross_head,29,25,0.4633779227733612
17,17,4,7,K,cross_head,29,34,0.4727976620197296
17,17,5,6,K,cross_head,29,25,0.5111352801322937
17,17,5,7,K,cross_head,29,34,0.5048360228538513
17,17,6,7,K,cross_head,25,34,0.45529335737228394
18,18,0,1,K,cross_head,24,27,0.4623725414276123
18,18,0,2,K,cross_head,24,31,0.42362165451049805
18,18,0,3,K,cross_head,24,36,0.5357335209846497
18,18,0,4,K,cross_head,24,29,0.5995463728904724
18,18,0,5,K,cross_head,24,36,0.5211284160614014
18,18,0,6,K,cross_head,24,26,0.6113412976264954
18,18,0,7,K,cross_head,24,25,0.2942446768283844
18,18,1,2,K,cross_head,27,31,0.43588003516197205
18,18,1,3,K,cross_head,27,36,0.4630226790904999
18,18,1,4,K,cross_head,27,29,0.48245492577552795
18,18,1,5,K,cross_head,27,36,0.4590490758419037
18,18,1,6,K,cross_head,27,26,0.4688578248023987
18,18,1,7,K,cross_head,27,25,0.40113627910614014
18,18,2,3,K,cross_head,31,36,0.4651693105697632
18,18,2,4,K,cross_head,31,29,0.4277558922767639
18,18,2,5,K,cross_head,31,36,0.45367637276649475
18,18,2,6,K,cross_head,31,26,0.44544517993927
18,18,2,7,K,cross_head,31,25,0.39643752574920654
18,18,3,4,K,cross_head,36,29,0.5216060876846313
18,18,3,5,K,cross_head,36,36,0.5435659289360046
18,18,3,6,K,cross_head,36,26,0.5239771604537964
18,18,3,7,K,cross_head,36,25,0.36970314383506775
18,18,4,5,K,cross_head,29,36,0.5305629372596741
18,18,4,6,K,cross_head,29,26,0.5820867419242859
18,18,4,7,K,cross_head,29,25,0.31923338770866394
18,18,5,6,K,cross_head,36,26,0.5165925621986389
18,18,5,7,K,cross_head,36,25,0.36874639987945557
18,18,6,7,K,cross_head,26,25,0.32968196272850037
19,19,0,1,K,cross_head,30,26,0.4318713843822479
19,19,0,2,K,cross_head,30,28,0.45564931631088257
19,19,0,3,K,cross_head,30,23,0.4062957465648651
19,19,0,4,K,cross_head,30,26,0.42715632915496826
19,19,0,5,K,cross_head,30,26,0.44467800855636597
19,19,0,6,K,cross_head,30,32,0.46773526072502136
19,19,0,7,K,cross_head,30,30,0.4544104337692261
19,19,1,2,K,cross_head,26,28,0.5556204319000244
19,19,1,3,K,cross_head,26,23,0.6078265905380249
19,19,1,4,K,cross_head,26,26,0.595452070236206
19,19,1,5,K,cross_head,26,26,0.5394858717918396
19,19,1,6,K,cross_head,26,32,0.5322117209434509
19,19,1,7,K,cross_head,26,30,0.5641682147979736
19,19,2,3,K,cross_head,28,23,0.5469241738319397
19,19,2,4,K,cross_head,28,26,0.5362154245376587
19,19,2,5,K,cross_head,28,26,0.5123851299285889
19,19,2,6,K,cross_head,28,32,0.5214418172836304
19,19,2,7,K,cross_head,28,30,0.5218055844306946
19,19,3,4,K,cross_head,23,26,0.5730246305465698
19,19,3,5,K,cross_head,23,26,0.5265159010887146
19,19,3,6,K,cross_head,23,32,0.5388457775115967
19,19,3,7,K,cross_head,23,30,0.5322797894477844
19,19,4,5,K,cross_head,26,26,0.5334327816963196
19,19,4,6,K,cross_head,26,32,0.5358431339263916
19,19,4,7,K,cross_head,26,30,0.5402761101722717
19,19,5,6,K,cross_head,26,32,0.5134496688842773
19,19,5,7,K,cross_head,26,30,0.5016801357269287
19,19,6,7,K,cross_head,32,30,0.5219445824623108
20,20,0,1,K,cross_head,25,27,0.4563601016998291
20,20,0,2,K,cross_head,25,28,0.4382101893424988
20,20,0,3,K,cross_head,25,33,0.44597065448760986
20,20,0,4,K,cross_head,25,27,0.4530389904975891
20,20,0,5,K,cross_head,25,31,0.4455139935016632
20,20,0,6,K,cross_head,25,33,0.41133004426956177
20,20,0,7,K,cross_head,25,28,0.46639519929885864
20,20,1,2,K,cross_head,27,28,0.4793076813220978
20,20,1,3,K,cross_head,27,33,0.5042625069618225
20,20,1,4,K,cross_head,27,27,0.5760419368743896
20,20,1,5,K,cross_head,27,31,0.5815995335578918
20,20,1,6,K,cross_head,27,33,0.38248106837272644
20,20,1,7,K,cross_head,27,28,0.6001227498054504
20,20,2,3,K,cross_head,28,33,0.4904826283454895
20,20,2,4,K,cross_head,28,27,0.46497291326522827
20,20,2,5,K,cross_head,28,31,0.4814688265323639
20,20,2,6,K,cross_head,28,33,0.42574194073677063
20,20,2,7,K,cross_head,28,28,0.4856591522693634
20,20,3,4,K,cross_head,33,27,0.49592769145965576
20,20,3,5,K,cross_head,33,31,0.5044596791267395
20,20,3,6,K,cross_head,33,33,0.4767833650112152
20,20,3,7,K,cross_head,33,28,0.5024290680885315
20,20,4,5,K,cross_head,27,31,0.555424153804779
20,20,4,6,K,cross_head,27,33,0.41920578479766846
20,20,4,7,K,cross_head,27,28,0.5589438080787659
20,20,5,6,K,cross_head,31,33,0.43525469303131104
20,20,5,7,K,cross_head,31,28,0.5529729127883911
20,20,6,7,K,cross_head,33,28,0.4057460427284241
21,21,0,1,K,cross_head,25,28,0.6288038492202759
21,21,0,2,K,cross_head,25,29,0.5930984616279602
21,21,0,3,K,cross_head,25,24,0.6031743288040161
21,21,0,4,K,cross_head,25,30,0.5752782821655273
21,21,0,5,K,cross_head,25,36,0.4788496494293213
21,21,0,6,K,cross_head,25,23,0.5610909461975098
21,21,0,7,K,cross_head,25,22,0.6030893921852112
21,21,1,2,K,cross_head,28,29,0.6470536589622498
21,21,1,3,K,cross_head,28,24,0.5952556729316711
21,21,1,4,K,cross_head,28,30,0.6123003959655762
21,21,1,5,K,cross_head,28,36,0.48825058341026306
21,21,1,6,K,cross_head,28,23,0.5381770133972168
21,21,1,7,K,cross_head,28,22,0.598892331123352
21,21,2,3,K,cross_head,29,24,0.5802897810935974
21,21,2,4,K,cross_head,29,30,0.5815938711166382
21,21,2,5,K,cross_head,29,36,0.4917718172073364
21,21,2,6,K,cross_head,29,23,0.5415599942207336
21,21,2,7,K,cross_head,29,22,0.582808256149292
21,21,3,4,K,cross_head,24,30,0.5427864193916321
21,21,3,5,K,cross_head,24,36,0.45584917068481445
21,21,3,6,K,cross_head,24,23,0.5450137853622437
21,21,3,7,K,cross_head,24,22,0.5969749689102173
21,21,4,5,K,cross_head,30,36,0.48546895384788513
21,21,4,6,K,cross_head,30,23,0.4741766154766083
21,21,4,7,K,cross_head,30,22,0.5276152491569519
21,21,5,6,K,cross_head,36,23,0.4557516574859619
21,21,5,7,K,cross_head,36,22,0.4419119954109192
21,21,6,7,K,cross_head,23,22,0.5433284640312195
22,22,0,1,K,cross_head,27,30,0.4479943811893463
22,22,0,2,K,cross_head,27,29,0.43432044982910156
22,22,0,3,K,cross_head,27,26,0.4335137903690338
22,22,0,4,K,cross_head,27,25,0.4521966576576233
22,22,0,5,K,cross_head,27,32,0.46259474754333496
22,22,0,6,K,cross_head,27,27,0.4554372727870941
22,22,0,7,K,cross_head,27,21,0.4243308901786804
22,22,1,2,K,cross_head,30,29,0.440001904964447
22,22,1,3,K,cross_head,30,26,0.43001624941825867
22,22,1,4,K,cross_head,30,25,0.44172072410583496
22,22,1,5,K,cross_head,30,32,0.46921366453170776
22,22,1,6,K,cross_head,30,27,0.45004069805145264
22,22,1,7,K,cross_head,30,21,0.38612520694732666
22,22,2,3,K,cross_head,29,26,0.4700940251350403
22,22,2,4,K,cross_head,29,25,0.444514662027359
22,22,2,5,K,cross_head,29,32,0.4904978275299072
22,22,2,6,K,cross_head,29,27,0.4897219240665436
22,22,2,7,K,cross_head,29,21,0.42822378873825073
22,22,3,4,K,cross_head,26,25,0.527306318283081
22,22,3,5,K,cross_head,26,32,0.5402327179908752
22,22,3,6,K,cross_head,26,27,0.5926722884178162
22,22,3,7,K,cross_head,26,21,0.5485941767692566
22,22,4,5,K,cross_head,25,32,0.4979120194911957
22,22,4,6,K,cross_head,25,27,0.5414313077926636
22,22,4,7,K,cross_head,25,21,0.5041331052780151
22,22,5,6,K,cross_head,32,27,0.5717999935150146
22,22,5,7,K,cross_head,32,21,0.5356348156929016
22,22,6,7,K,cross_head,27,21,0.60204017162323
23,23,0,1,K,cross_head,28,29,0.5647774934768677
23,23,0,2,K,cross_head,28,21,0.5853033661842346
23,23,0,3,K,cross_head,28,43,0.4831887185573578
23,23,0,4,K,cross_head,28,37,0.47078701853752136
23,23,0,5,K,cross_head,28,30,0.4825296103954315
23,23,0,6,K,cross_head,28,22,0.5647130608558655
23,23,0,7,K,cross_head,28,34,0.49208784103393555
23,23,1,2,K,cross_head,29,21,0.5642759799957275
23,23,1,3,K,cross_head,29,43,0.46882814168930054
23,23,1,4,K,cross_head,29,37,0.4852787256240845
23,23,1,5,K,cross_head,29,30,0.4911302924156189
23,23,1,6,K,cross_head,29,22,0.575684666633606
23,23,1,7,K,cross_head,29,34,0.48392847180366516
23,23,2,3,K,cross_head,21,43,0.403001606464386
23,23,2,4,K,cross_head,21,37,0.4280904233455658
23,23,2,5,K,cross_head,21,30,0.4164354205131531
23,23,2,6,K,cross_head,21,22,0.660712718963623
23,23,2,7,K,cross_head,21,34,0.4503350853919983
23,23,3,4,K,cross_head,43,37,0.5207345485687256
23,23,3,5,K,cross_head,43,30,0.4906994700431824
23,23,3,6,K,cross_head,43,22,0.4319513440132141
23,23,3,7,K,cross_head,43,34,0.5060524940490723
23,23,4,5,K,cross_head,37,30,0.47967448830604553
23,23,4,6,K,cross_head,37,22,0.43364840745925903
23,23,4,7,K,cross_head,37,34,0.5092737674713135
23,23,5,6,K,cross_head,30,22,0.4531111717224121
23,23,5,7,K,cross_head,30,34,0.5102419853210449
23,23,6,7,K,cross_head,22,34,0.4504489004611969
24,24,0,1,K,cross_head,24,33,0.5138688087463379
24,24,0,2,K,cross_head,24,34,0.5854330062866211
24,24,0,3,K,cross_head,24,21,0.6469675898551941
24,24,0,4,K,cross_head,24,29,0.6171129941940308
24,24,0,5,K,cross_head,24,26,0.6358062028884888
24,24,0,6,K,cross_head,24,23,0.5896446704864502
24,24,0,7,K,cross_head,24,24,0.5867655873298645
24,24,1,2,K,cross_head,33,34,0.5540441870689392
24,24,1,3,K,cross_head,33,21,0.4673926532268524
24,24,1,4,K,cross_head,33,29,0.5156238079071045
24,24,1,5,K,cross_head,33,26,0.5141691565513611
24,24,1,6,K,cross_head,33,23,0.4645976722240448
24,24,1,7,K,cross_head,33,24,0.48922500014305115
24,24,2,3,K,cross_head,34,21,0.5238894820213318
24,24,2,4,K,cross_head,34,29,0.580893874168396
24,24,2,5,K,cross_head,34,26,0.5757403373718262
24,24,2,6,K,cross_head,34,23,0.5158801078796387
24,24,2,7,K,cross_head,34,24,0.5343170166015625
24,24,3,4,K,cross_head,21,29,0.5885575413703918
24,24,3,5,K,cross_head,21,26,0.6025893092155457
24,24,3,6,K,cross_head,21,23,0.529655933380127
24,24,3,7,K,cross_head,21,24,0.5322068333625793
24,24,4,5,K,cross_head,29,26,0.5761407613754272
24,24,4,6,K,cross_head,29,23,0.5443865060806274
24,24,4,7,K,cross_head,29,24,0.5643213391304016
24,24,5,6,K,cross_head,26,23,0.5525418519973755
24,24,5,7,K,cross_head,26,24,0.5617603659629822
24,24,6,7,K,cross_head,23,24,0.5448959469795227
25,25,0,1,K,cross_head,31,36,0.5567904710769653
25,25,0,2,K,cross_head,31,33,0.5113709568977356
25,25,0,3,K,cross_head,31,37,0.5602448582649231
25,25,0,4,K,cross_head,31,27,0.5591503977775574
25,25,0,5,K,cross_head,31,22,0.556395947933197
25,25,0,6,K,cross_head,31,29,0.572896420955658
25,25,0,7,K,cross_head,31,24,0.5938839316368103
25,25,1,2,K,cross_head,36,33,0.5151014924049377
25,25,1,3,K,cross_head,36,37,0.5793145298957825
25,25,1,4,K,cross_head,36,27,0.5514997839927673
25,25,1,5,K,cross_head,36,22,0.5311813950538635
25,25,1,6,K,cross_head,36,29,0.5501141548156738
25,25,1,7,K,cross_head,36,24,0.5602918267250061
25,25,2,3,K,cross_head,33,37,0.5419169664382935
25,25,2,4,K,cross_head,33,27,0.48336902260780334
25,25,2,5,K,cross_head,33,22,0.4539938271045685
25,25,2,6,K,cross_head,33,29,0.5167063474655151
25,25,2,7,K,cross_head,33,24,0.4744352400302887
25,25,3,4,K,cross_head,37,27,0.5291649103164673
25,25,3,5,K,cross_head,37,22,0.5158008933067322
25,25,3,6,K,cross_head,37,29,0.552768349647522
25,25,3,7,K,cross_head,37,24,0.534352719783783
25,25,4,5,K,cross_head,27,22,0.5668429136276245
25,25,4,6,K,cross_head,27,29,0.5805616974830627
25,25,4,7,K,cross_head,27,24,0.5840868949890137
25,25,5,6,K,cross_head,22,29,0.5811205506324768
25,25,5,7,K,cross_head,22,24,0.602966845035553
25,25,6,7,K,cross_head,29,24,0.5860847234725952
26,26,0,1,K,cross_head,32,36,0.5085050463676453
26,26,0,2,K,cross_head,32,30,0.5518996119499207
26,26,0,3,K,cross_head,32,27,0.5381201505661011
26,26,0,4,K,cross_head,32,30,0.5419963002204895
26,26,0,5,K,cross_head,32,37,0.5230662822723389
26,26,0,6,K,cross_head,32,32,0.5397801399230957
26,26,0,7,K,cross_head,32,26,0.5285667181015015
26,26,1,2,K,cross_head,36,30,0.4792855679988861
26,26,1,3,K,cross_head,36,27,0.4834098517894745
26,26,1,4,K,cross_head,36,30,0.4923500418663025
26,26,1,5,K,cross_head,36,37,0.5203001499176025
26,26,1,6,K,cross_head,36,32,0.4868917167186737
26,26,1,7,K,cross_head,36,26,0.4523206949234009
26,26,2,3,K,cross_head,30,27,0.6019078493118286
26,26,2,4,K,cross_head,30,30,0.6156886219978333
26,26,2,5,K,cross_head,30,37,0.5434817671775818
26,26,2,6,K,cross_head,30,32,0.5744299292564392
26,26,2,7,K,cross_head,30,26,0.5863886475563049
26,26,3,4,K,cross_head,27,30,0.6254809498786926
26,26,3,5,K,cross_head,27,37,0.5426968932151794
26,26,3,6,K,cross_head,27,32,0.5498913526535034
26,26,3,7,K,cross_head,27,26,0.6259976029396057
26,26,4,5,K,cross_head,30,37,0.5540903806686401
26,26,4,6,K,cross_head,30,32,0.5731047987937927
26,26,4,7,K,cross_head,30,26,0.6202197670936584
26,26,5,6,K,cross_head,37,32,0.5368525385856628
26,26,5,7,K,cross_head,37,26,0.545991063117981
26,26,6,7,K,cross_head,32,26,0.5575711131095886
27,27,0,1,K,cross_head,21,32,0.45214980840682983
27,27,0,2,K,cross_head,21,34,0.5805106163024902
27,27,0,3,K,cross_head,21,33,0.6293017268180847
27,27,0,4,K,cross_head,21,26,0.590300977230072
27,27,0,5,K,cross_head,21,29,0.4812142550945282
27,27,0,6,K,cross_head,21,30,0.5926505327224731
27,27,0,7,K,cross_head,21,32,0.5359421968460083
27,27,1,2,K,cross_head,32,34,0.5301886796951294
27,27,1,3,K,cross_head,32,33,0.533309280872345
27,27,1,4,K,cross_head,32,26,0.5084050297737122
27,27,1,5,K,cross_head,32,29,0.4938243329524994
27,27,1,6,K,cross_head,32,30,0.5110180377960205
27,27,1,7,K,cross_head,32,32,0.516075849533081
27,27,2,3,K,cross_head,34,33,0.6010542511940002
27,27,2,4,K,cross_head,34,26,0.5541060566902161
27,27,2,5,K,cross_head,34,29,0.518172025680542
27,27,2,6,K,cross_head,34,30,0.5906655788421631
27,27,2,7,K,cross_head,34,32,0.5527050495147705
27,27,3,4,K,cross_head,33,26,0.5630110502243042
27,27,3,5,K,cross_head,33,29,0.5365790724754333
27,27,3,6,K,cross_head,33,30,0.6009135842323303
27,27,3,7,K,cross_head,33,32,0.5692471861839294
27,27,4,5,K,cross_head,26,29,0.5180138945579529
27,27,4,6,K,cross_head,26,30,0.5869951844215393
27,27,4,7,K,cross_head,26,32,0.5656945109367371
27,27,5,6,K,cross_head,29,30,0.5377897024154663
27,27,5,7,K,cross_head,29,32,0.5191193222999573
27,27,6,7,K,cross_head,30,32,0.5777238011360168
28,28,0,1,K,cross_head,29,32,0.5842783451080322
28,28,0,2,K,cross_head,29,40,0.5366114377975464
28,28,0,3,K,cross_head,29,30,0.5913509726524353
28,28,0,4,K,cross_head,29,25,0.6128524541854858
28,28,0,5,K,cross_head,29,36,0.564407467842102
28,28,0,6,K,cross_head,29,23,0.620978593826294
28,28,0,7,K,cross_head,29,30,0.6032627820968628
28,28,1,2,K,cross_head,32,40,0.5606557130813599
28,28,1,3,K,cross_head,32,30,0.5855664014816284
28,28,1,4,K,cross_head,32,25,0.6133853197097778
28,28,1,5,K,cross_head,32,36,0.5760625600814819
28,28,1,6,K,cross_head,32,23,0.6080118417739868
28,28,1,7,K,cross_head,32,30,0.6093096137046814
28,28,2,3,K,cross_head,40,30,0.5254549384117126
28,28,2,4,K,cross_head,40,25,0.54360431432724
28,28,2,5,K,cross_head,40,36,0.5471733808517456
28,28,2,6,K,cross_head,40,23,0.5344903469085693
28,28,2,7,K,cross_head,40,30,0.5527425408363342
28,28,3,4,K,cross_head,30,25,0.5863264799118042
28,28,3,5,K,cross_head,30,36,0.5661132335662842
28,28,3,6,K,cross_head,30,23,0.6030830144882202
28,28,3,7,K,cross_head,30,30,0.606647253036499
28,28,4,5,K,cross_head,25,36,0.5614321827888489
28,28,4,6,K,cross_head,25,23,0.663574755191803
28,28,4,7,K,cross_head,25,30,0.6264462471008301
28,28,5,6,K,cross_head,36,23,0.5672567486763
28,28,5,7,K,cross_head,36,30,0.5884281396865845
28,28,6,7,K,cross_head,23,30,0.627762496471405
29,29,0,1,K,cross_head,32,52,0.4607384204864502
29,29,0,2,K,cross_head,32,28,0.6116315722465515
29,29,0,3,K,cross_head,32,40,0.5297465324401855
29,29,0,4,K,cross_head,32,28,0.6344690918922424
29,29,0,5,K,cross_head,32,47,0.4644949734210968
29,29,0,6,K,cross_head,32,30,0.5939275026321411
29,29,0,7,K,cross_head,32,48,0.4240148067474365
29,29,1,2,K,cross_head,52,28,0.44412142038345337
29,29,1,3,K,cross_head,52,40,0.5023166537284851
29,29,1,4,K,cross_head,52,28,0.43656352162361145
29,29,1,5,K,cross_head,52,47,0.5614845752716064
29,29,1,6,K,cross_head,52,30,0.4567476511001587
29,29,1,7,K,cross_head,52,48,0.5562121868133545
29,29,2,3,K,cross_head,28,40,0.5216265320777893
29,29,2,4,K,cross_head,28,28,0.633544921875
29,29,2,5,K,cross_head,28,47,0.4440727233886719
29,29,2,6,K,cross_head,28,30,0.598715603351593
29,29,2,7,K,cross_head,28,48,0.4008250832557678
29,29,3,4,K,cross_head,40,28,0.5308765172958374
29,29,3,5,K,cross_head,40,47,0.5268927812576294
29,29,3,6,K,cross_head,40,30,0.5199765563011169
29,29,3,7,K,cross_head,40,48,0.4930807054042816
29,29,4,5,K,cross_head,28,47,0.4384150803089142
29,29,4,6,K,cross_head,28,30,0.6086517572402954
29,29,4,7,K,cross_head,28,48,0.38706138730049133
29,29,5,6,K,cross_head,47,30,0.4658447504043579
29,29,5,7,K,cross_head,47,48,0.5597302913665771
29,29,6,7,K,cross_head,30,48,0.4094451069831848
30,30,0,1,K,cross_head,38,36,0.5748910903930664
30,30,0,2,K,cross_head,38,24,0.5511723160743713
30,30,0,3,K,cross_head,38,45,0.5231806635856628
30,30,0,4,K,cross_head,38,49,0.4927773177623749
30,30,0,5,K,cross_head,38,32,0.5783185958862305
30,30,0,6,K,cross_head,38,51,0.4910466969013214
30,30,0,7,K,cross_head,38,36,0.541840136051178
30,30,1,2,K,cross_head,36,24,0.5787830352783203
30,30,1,3,K,cross_head,36,45,0.5074096322059631
30,30,1,4,K,cross_head,36,49,0.4777507781982422
30,30,1,5,K,cross_head,36,32,0.585066556930542
30,30,1,6,K,cross_head,36,51,0.4808577001094818
30,30,1,7,K,cross_head,36,36,0.550156831741333
30,30,2,3,K,cross_head,24,45,0.4590202867984772
30,30,2,4,K,cross_head,24,49,0.3847403824329376
30,30,2,5,K,cross_head,24,32,0.5788581967353821
30,30,2,6,K,cross_head,24,51,0.3876729905605316
30,30,2,7,K,cross_head,24,36,0.48700013756752014
30,30,3,4,K,cross_head,45,49,0.5373172760009766
30,30,3,5,K,cross_head,45,32,0.4914608895778656
30,30,3,6,K,cross_head,45,51,0.5354948043823242
30,30,3,7,K,cross_head,45,36,0.5056779384613037
30,30,4,5,K,cross_head,49,32,0.4480893015861511
30,30,4,6,K,cross_head,49,51,0.5727831125259399
30,30,4,7,K,cross_head,49,36,0.47870051860809326
30,30,5,6,K,cross_head,32,51,0.44935518503189087
30,30,5,7,K,cross_head,32,36,0.5301410555839539
30,30,6,7,K,cross_head,51,36,0.4836995303630829
31,31,0,1,K,cross_head,40,37,0.5638941526412964
31,31,0,2,K,cross_head,40,44,0.5972463488578796
31,31,0,3,K,cross_head,40,46,0.5716143846511841
31,31,0,4,K,cross_head,40,23,0.5177854299545288
31,31,0,5,K,cross_head,40,51,0.5551321506500244
31,31,0,6,K,cross_head,40,44,0.5239230990409851
31,31,0,7,K,cross_head,40,46,0.5659628510475159
31,31,1,2,K,cross_head,37,44,0.6022753119468689
31,31,1,3,K,cross_head,37,46,0.575842559337616
31,31,1,4,K,cross_head,37,23,0.5688740015029907
31,31,1,5,K,cross_head,37,51,0.5572025775909424
31,31,1,6,K,cross_head,37,44,0.46377456188201904
31,31,1,7,K,cross_head,37,46,0.556479275226593
31,31,2,3,K,cross_head,44,46,0.6153466105461121
31,31,2,4,K,cross_head,44,23,0.5437652468681335
31,31,2,5,K,cross_head,44,51,0.6076722145080566
31,31,2,6,K,cross_head,44,44,0.5209667682647705
31,31,2,7,K,cross_head,44,46,0.592488706111908
31,31,3,4,K,cross_head,46,23,0.5383800268173218
31,31,3,5,K,cross_head,46,51,0.580951988697052
31,31,3,6,K,cross_head,46,44,0.5263618230819702
31,31,3,7,K,cross_head,46,46,0.57137131690979
31,31,4,5,K,cross_head,23,51,0.48513880372047424
31,31,4,6,K,cross_head,23,44,0.34578055143356323
31,31,4,7,K,cross_head,23,46,0.508761465549469
31,31,5,6,K,cross_head,51,44,0.5377776026725769
31,31,5,7,K,cross_head,51,46,0.572814404964447
31,31,6,7,K,cross_head,44,46,0.5300129652023315
32,32,0,1,K,cross_head,42,46,0.5694418549537659
32,32,0,2,K,cross_head,42,34,0.530567467212677
