N,rho,Hamming,slope
200,0.0018947368421052633,{'rho': np.float64(0.0018947368421052633), 'Hamming': np.float64(0.0013750000000000001)},50.0
200,0.002,{'rho': np.float64(0.002), 'Hamming': np.float64(0.001325)},50.0
500,0.0,{'rho': np.float64(0.0), 'Hamming': np.float64(0.0009599999999999999)},50.0
500,0.00010526315789473685,{'rho': np.float64(0.00010526315789473685), 'Hamming': np.float64(0.000272)},50.0
500,0.0002105263157894737,{'rho': np.float64(0.0002105263157894737), 'Hamming': np.float64(0.00035999999999999997)},50.0
500,0.00031578947368421053,{'rho': np.float64(0.00031578947368421053), 'Hamming': np.float64(0.000424)},50.0
500,0.0004210526315789474,{'rho': np.float64(0.0004210526315789474), 'Hamming': np.float64(0.000484)},50.0
500,0.0005263157894736842,{'rho': np.float64(0.0005263157894736842), 'Hamming': np.float64(0.000516)},50.0
500,0.0006315789473684211,{'rho': np.float64(0.0006315789473684211), 'Hamming': np.float64(0.0005719999999999999)},50.0
500,0.0007368421052631579,{'rho': np.float64(0.0007368421052631579), 'Hamming': np.float64(0.000596)},50.0
500,0.0008421052631578948,{'rho': np.float64(0.0008421052631578948), 'Hamming': np.float64(0.000624)},50.0
500,0.0009473684210526316,{'rho': np.float64(0.0009473684210526316), 'Hamming': np.float64(0.000656)},50.0
500,0.0010526315789473684,{'rho': np.float64(0.0010526315789473684), 'Hamming': np.float64(0.000656)},50.0
500,0.0011578947368421054,{'rho': np.float64(0.0011578947368421054), 'Hamming': np.float64(0.0006720000000000001)},50.0
500,0.0012631578947368421,{'rho': np.float64(0.0012631578947368421), 'Hamming': np.float64(0.000708)},50.0
500,0.001368421052631579,{'rho': np.float64(0.001368421052631579), 'Hamming': np.float64(0.0007199999999999999)},50.0
500,0.0014736842105263158,{'rho': np.float64(0.0014736842105263158), 'Hamming': np.float64(0.000752)},50.0
500,0.0015789473684210528,{'rho': np.float64(0.0015789473684210528), 'Hamming': np.float64(0.000768)},50.0
500,0.0016842105263157896,{'rho': np.float64(0.0016842105263157896), 'Hamming': np.float64(0.000772)},50.0
500,0.0017894736842105263,{'rho': np.float64(0.0017894736842105263), 'Hamming': np.float64(0.0007840000000000001)},50.0
500,0.0018947368421052633,{'rho': np.float64(0.0018947368421052633), 'Hamming': np.float64(0.0007920000000000001)},50.0
500,0.002,{'rho': np.float64(0.002), 'Hamming': np.float64(0.000832)},50.0
