layer,head,token_range,top1_match,top5_jaccard,attn_kl,n_tokens
0,0,early,0.8526315789473684,0.6921888053467,3.242751347443118e-07,190
0,0,late,0.7604166666666666,0.7707093253968255,3.1847139325691387e-07,192
0,1,early,0.9263157894736842,0.79874686716792,2.483301670963556e-07,190
0,1,late,0.9427083333333334,0.842013888888889,2.3301652163354447e-07,192
0,2,early,0.9736842105263158,0.799874686716792,3.881811494466092e-07,190
0,2,late,0.9947916666666666,0.8683035714285715,3.559810011211084e-07,192
0,3,early,0.8789473684210526,0.8915413533834587,2.101075580185352e-07,190
0,3,late,0.9895833333333334,0.8866567460317459,2.065180098043129e-07,192
0,4,early,0.9421052631578948,0.8275689223057644,3.652623377092823e-07,190
0,4,late,0.75,0.7727554563492064,3.1011595069685427e-07,192
0,5,early,0.7842105263157895,0.7417919799498748,3.2468648214489804e-07,190
0,5,late,0.6875,0.6162161044973545,2.894084616400505e-07,192
0,6,early,0.47368421052631576,0.5315371762740184,4.571280953769019e-07,190
0,6,late,0.640625,0.5696304563492064,3.9406606333614036e-07,192
0,7,early,0.7894736842105263,0.7230367585630744,3.305612210624531e-07,190
0,7,late,0.8333333333333334,0.37754216269841273,2.9747855023742886e-07,192
0,8,early,0.3263157894736842,0.6397869674185463,5.514605163625674e-07,190
0,8,late,0.953125,0.3011739417989418,4.77812363897101e-07,192
0,9,early,0.8736842105263158,0.8130952380952381,3.9775878235559503e-07,190
0,9,late,0.890625,0.4968377976190476,4.269548696811398e-07,192
0,10,early,0.6947368421052632,0.7662907268170428,2.47009893428185e-07,190
0,10,late,0.5572916666666666,0.36786954365079366,2.1831181129527977e-07,192
0,11,early,0.9052631578947369,0.9122807017543859,1.3523244035695825e-07,190
0,11,late,0.71875,0.5472676917989419,1.0540149020243916e-07,192
0,12,early,0.7842105263157895,0.7887635756056809,2.4514136498510197e-07,190
0,12,late,0.71875,0.4365286044973544,2.231595317425672e-07,192
0,13,early,0.7473684210526316,0.821345029239766,1.4490522914911708e-07,190
0,13,late,0.7447916666666666,0.41592261904761907,1.2615900857326778e-07,192
0,14,early,0.8789473684210526,0.8205513784461154,2.2536583799137588e-07,190
0,14,late,0.8385416666666666,0.427600033068783,1.977002170860942e-07,192
0,15,early,0.8736842105263158,0.718483709273183,6.553490266014705e-07,190
0,15,late,0.9114583333333334,0.5871775793650794,6.096650508879975e-07,192
0,16,early,0.8263157894736842,0.7817669172932332,3.175412928158039e-07,190
0,16,late,0.8802083333333334,0.7757936507936508,2.9754798447356734e-07,192
0,17,early,0.8315789473684211,0.7326649958228906,4.6756548499615747e-07,190
0,17,late,0.578125,0.7069072420634921,4.3371247215873154e-07,192
0,18,early,0.9315789473684211,0.8306390977443608,6.774127427888743e-07,190
0,18,late,0.9583333333333334,0.6707589285714285,7.531240839853126e-07,192
0,19,early,0.8736842105263158,0.7828320802005012,3.95168427758108e-07,190
0,19,late,0.7135416666666666,0.767547123015873,3.5261106745565485e-07,192
0,20,early,0.7263157894736842,0.8230367585630745,1.4358117539359228e-07,190
0,20,late,0.7083333333333334,0.546750992063492,1.3785110297703795e-07,192
0,21,early,0.8,0.8845238095238095,1.7134523488948616e-07,190
0,21,late,0.8333333333333334,0.5811218584656085,1.7210435032666282e-07,192
0,22,early,0.8526315789473684,0.7554511278195488,9.382124943613235e-08,190
0,22,late,0.8333333333333334,0.7026909722222223,8.382134097928429e-08,192
