rho,hamming_layer0_mean,hamming_layer0_std,hamming_layer1_mean,hamming_layer1_std
0.0,0.44999999999999996,0.041231056256176596,0.5499999999999999,0.08660254037844385
1e-06,0.44,0.0632455532033676,0.4,0.1414213562373095
2.310129700083158e-06,0.45,0.03605551275463988,0.25,0.16583123951777
5.336699231206313e-06,0.445,0.0455521678957215,0.4,0.19999999999999998
1.2328467394420658e-05,0.435,0.03840572873934304,0.30000000000000004,0.1
2.8480358684358048e-05,0.42,0.02449489742783178,0.25,0.21794494717703367
6.579332246575683e-05,0.41000000000000003,0.022360679774997894,0.30000000000000004,0.22360679774997896
0.0001519911082952933,0.42999999999999994,0.045825756949558406,0.4,0.31622776601683794
0.0003511191734215131,0.45499999999999996,0.016583123951776992,0.4,0.28284271247461906
0.0008111308307896872,0.475,0.008660254037844371,0.4,0.24494897427831783
0.001873817422860385,0.49,0.010000000000000009,0.4,0.1414213562373095
0.004328761281083062,0.505,0.008660254037844395,0.45000000000000007,0.08660254037844385
0.01,0.5,0.0,0.4,0.0
