T_h,n,rho,hamming_mean,hamming_std
0,1,0.0,0.4138888888888889,0.04945692726323572
0,2,0.0,0.4138888888888889,0.04945692726323572
0,4,0.0,0.4138888888888889,0.04945692726323572
0,8,0.0,0.4138888888888889,0.04945692726323572
0,1,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
0,2,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
0,4,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
0,8,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
0,1,9.090909090909092e-05,0.030555555555555558,0.02791632116978025
0,2,9.090909090909092e-05,0.030555555555555558,0.02791632116978025
0,4,9.090909090909092e-05,0.030555555555555558,0.02791632116978025
0,8,9.090909090909092e-05,0.030555555555555558,0.02791632116978025
0,1,0.00013636363636363637,0.036111111111111115,0.02437490107608923
0,2,0.00013636363636363637,0.036111111111111115,0.02437490107608923
0,4,0.00013636363636363637,0.036111111111111115,0.02437490107608923
0,8,0.00013636363636363637,0.036111111111111115,0.02437490107608923
0,1,0.00018181818181818183,0.03888888888888889,0.028327886186626582
0,2,0.00018181818181818183,0.03888888888888889,0.028327886186626582
0,4,0.00018181818181818183,0.03888888888888889,0.028327886186626582
0,8,0.00018181818181818183,0.03888888888888889,0.028327886186626582
0,1,0.0002272727272727273,0.05277777777777778,0.04015786748555822
0,2,0.0002272727272727273,0.05277777777777778,0.04015786748555822
0,4,0.0002272727272727273,0.05277777777777778,0.04015786748555822
0,8,0.0002272727272727273,0.05277777777777778,0.04015786748555822
0,1,0.00027272727272727274,0.06111111111111111,0.04267303193260338
0,2,0.00027272727272727274,0.06111111111111111,0.04267303193260338
0,4,0.00027272727272727274,0.06111111111111111,0.04267303193260338
0,8,0.00027272727272727274,0.06111111111111111,0.04267303193260338
0,1,0.0003181818181818182,0.06666666666666667,0.04906533814626582
0,2,0.0003181818181818182,0.06666666666666667,0.04906533814626582
0,4,0.0003181818181818182,0.06666666666666667,0.04906533814626582
0,8,0.0003181818181818182,0.06666666666666667,0.04906533814626582
0,1,0.00036363636363636367,0.06944444444444443,0.048511803323813836
0,2,0.00036363636363636367,0.06944444444444443,0.048511803323813836
0,4,0.00036363636363636367,0.06944444444444443,0.048511803323813836
0,8,0.00036363636363636367,0.06944444444444443,0.048511803323813836
0,1,0.00040909090909090913,0.075,0.042763345328724035
0,2,0.00040909090909090913,0.075,0.042763345328724035
0,4,0.00040909090909090913,0.075,0.042763345328724035
0,8,0.00040909090909090913,0.075,0.042763345328724035
0,1,0.0004545454545454546,0.09166666666666666,0.046894286155928146
0,2,0.0004545454545454546,0.09166666666666666,0.046894286155928146
0,4,0.0004545454545454546,0.09166666666666666,0.046894286155928146
0,8,0.0004545454545454546,0.09166666666666666,0.046894286155928146
0,1,0.0005,0.10277777777777776,0.03251305530755451
0,2,0.0005,0.10277777777777776,0.03251305530755451
0,4,0.0005,0.10277777777777776,0.03251305530755451
0,8,0.0005,0.10277777777777776,0.03251305530755451
1e-06,1,0.0,0.3055555555555556,0.06781419786518723
1e-06,1,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
1e-06,1,9.090909090909092e-05,0.022222222222222223,0.026643508462848443
1e-06,1,0.00013636363636363637,0.036111111111111115,0.02437490107608923
1e-06,1,0.00018181818181818183,0.036111111111111115,0.02437490107608923
1e-06,1,0.0002272727272727273,0.041666666666666664,0.03298428357510533
1e-06,1,0.00027272727272727274,0.05555555555555555,0.03424674446093876
1e-06,1,0.0003181818181818182,0.06666666666666667,0.04614791034954486
1e-06,1,0.00036363636363636367,0.075,0.043832593994609724
1e-06,1,0.00040909090909090913,0.07222222222222223,0.040445054940447325
1e-06,1,0.0004545454545454546,0.08055555555555555,0.032513055307554516
1e-06,1,0.0005,0.09444444444444444,0.03286710990610898
1e-06,2,0.0,0.3833333333333333,0.06596856715021066
1e-06,2,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
1e-06,2,9.090909090909092e-05,0.022222222222222223,0.026643508462848443
1e-06,2,0.00013636363636363637,0.03333333333333333,0.02545875386086578
1e-06,2,0.00018181818181818183,0.03888888888888889,0.028327886186626582
1e-06,2,0.0002272727272727273,0.04722222222222222,0.03524604872347089
1e-06,2,0.00027272727272727274,0.05833333333333333,0.03435921354681384
1e-06,2,0.0003181818181818182,0.06111111111111111,0.03142696805273545
1e-06,2,0.00036363636363636367,0.06111111111111111,0.03142696805273545
1e-06,2,0.00040909090909090913,0.08333333333333333,0.034694433324435545
1e-06,2,0.0004545454545454546,0.09166666666666666,0.0393817968854384
1e-06,2,0.0005,0.09166666666666666,0.0393817968854384
1e-06,4,0.0,0.3277777777777778,0.05241100628920335
1e-06,4,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
1e-06,4,9.090909090909092e-05,0.024999999999999998,0.025
1e-06,4,0.00013636363636363637,0.03333333333333333,0.02545875386086578
1e-06,4,0.00018181818181818183,0.041666666666666664,0.03298428357510533
1e-06,4,0.0002272727272727273,0.044444444444444446,0.029917582261858356
1e-06,4,0.00027272727272727274,0.06111111111111111,0.024845199749997667
1e-06,4,0.0003181818181818182,0.06111111111111111,0.03142696805273545
1e-06,4,0.00036363636363636367,0.07777777777777778,0.029917582261858356
1e-06,4,0.00040909090909090913,0.0861111111111111,0.040157867485558225
1e-06,4,0.0004545454545454546,0.08333333333333333,0.03600411499115478
1e-06,4,0.0005,0.09166666666666666,0.036955929710139085
1e-06,8,0.0,0.3888888888888889,0.12005657102763506
1e-06,8,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
1e-06,8,9.090909090909092e-05,0.024999999999999998,0.03004626062886658
1e-06,8,0.00013636363636363637,0.036111111111111115,0.02437490107608923
1e-06,8,0.00018181818181818183,0.044444444444444446,0.029917582261858356
1e-06,8,0.0002272727272727273,0.049999999999999996,0.031914236925211274
1e-06,8,0.00027272727272727274,0.05555555555555555,0.02991758226185836
1e-06,8,0.0003181818181818182,0.05833333333333333,0.03938179688543841
1e-06,8,0.00036363636363636367,0.07222222222222222,0.03424674446093876
1e-06,8,0.00040909090909090913,0.08888888888888889,0.03286710990610898
1e-06,8,0.0004545454545454546,0.09166666666666666,0.03568120160740314
1e-06,8,0.0005,0.09444444444444444,0.04374448818895451
3e-06,1,0.0,0.28055555555555556,0.0747939556546459
3e-06,1,4.545454545454546e-05,0.019444444444444445,0.022395160411940417
3e-06,1,9.090909090909092e-05,0.024999999999999998,0.03004626062886658
3e-06,1,0.00013636363636363637,0.036111111111111115,0.02437490107608923
3e-06,1,0.00018181818181818183,0.036111111111111115,0.02437490107608923
3e-06,1,0.0002272727272727273,0.041666666666666664,0.03298428357510533
3e-06,1,0.00027272727272727274,0.05555555555555555,0.03424674446093876
3e-06,1,0.0003181818181818182,0.06666666666666667,0.04614791034954486
3e-06,1,0.00036363636363636367,0.075,0.043832593994609724
3e-06,1,0.00040909090909090913,0.07222222222222223,0.040445054940447325
3e-06,1,0.0004545454545454546,0.08055555555555555,0.032513055307554516
3e-06,1,0.0005,0.09722222222222221,0.031056499687497078
3e-06,2,0.0,0.2388888888888889,0.03424674446093875
