layer,head,kv_type,method,k,n_bits,bits_per_vector,eff_rank_V_90,eff_rank_K_90,V_mse_logits,V_mae_logits,V_kl_divergence,V_l1_attention,V_top1_agreement
0,3,V,subspace_k48,48,11,528,21.0,14.0,1.9474574028710068e-06,0.0010665724284246222,9.629764676641196e-07,0.0010597446046755176,0.65625
0,3,V,subspace_k64,64,8,512,21.0,14.0,1.2477385437335836e-06,0.0008463856181637295,6.204812034528945e-07,0.0008440523788850315,0.7265625
0,3,V,full_dim,128,8,1024,21.0,14.0,1.7415881091636596e-09,3.2086735003404335e-05,8.667045625103295e-10,3.1995466330575644e-05,0.99609375
0,3,V,subspace_k16,16,64,1024,21.0,14.0,0.0001831156886831708,0.010415146615123612,3.545820539061944e-05,0.006157753855507014,0.0
0,3,V,subspace_k32,32,32,1024,21.0,14.0,0.0004511845501884178,0.016491076337870406,0.0001112915039518974,0.011341211655324188,0.0
0,3,V,subspace_k48,48,21,1008,21.0,14.0,1.9480472350112865e-06,0.0010667613163581895,9.632687647313409e-07,0.001059930199657345,0.65234375
0,3,V,subspace_k64,64,16,1024,21.0,14.0,1.2459679396930543e-06,0.0008455059162527616,6.195228848005153e-07,0.000843139473208321,0.73046875
0,4,V,full_dim,128,2,256,26.0,8.0,6.64923944703943e-06,0.002000866738870754,3.3168489731191016e-06,0.0019976358578508435,0.32421875
0,4,V,subspace_k16,16,16,256,26.0,8.0,2.9715882042256496e-06,0.0013371958141247704,1.480259137173402e-06,0.001335376919691718,0.39453125
0,4,V,subspace_k32,32,8,256,26.0,8.0,1.8956746134382905e-06,0.0010685843896099127,9.42352212496714e-07,0.0010660390050347742,0.546875
0,4,V,subspace_k48,48,5,240,26.0,8.0,1.2200827066345396e-06,0.0008603412780183019,6.078280844576059e-07,0.0008582321584976787,0.58984375
0,4,V,subspace_k64,64,4,256,26.0,8.0,9.371701583071795e-07,0.0007552992502145026,4.6697335707858704e-07,0.000754349400468694,0.65625
0,4,V,full_dim,128,4,512,26.0,8.0,2.522892987603688e-07,0.0003866203692927435,1.2586242485546092e-07,0.0003861385111887312,0.81640625
0,4,V,subspace_k16,16,32,512,26.0,8.0,8.750379184122519e-05,0.007227699520066193,2.3158464211878997e-05,0.005273808966996691,0.0
0,4,V,subspace_k32,32,16,512,26.0,8.0,1.893706835117909e-06,0.0010681739477904862,9.413724185820898e-07,0.0010655920000823618,0.54296875
0,4,V,subspace_k48,48,11,528,26.0,8.0,1.159982975209374e-06,0.0008378249312432284,5.777201297209257e-07,0.00083559789652804,0.58984375
0,4,V,subspace_k64,64,8,512,26.0,8.0,6.986686308593611e-07,0.0006520032904586007,3.474683955613992e-07,0.0006504946630614937,0.6796875
0,4,V,full_dim,128,8,1024,26.0,8.0,7.748899140909814e-10,2.1712130742326065e-05,3.860848259347045e-10,2.1678408630200483e-05,0.9765625
0,4,V,subspace_k16,16,64,1024,26.0,8.0,0.0001122023685538502,0.008199246003029705,8.276736461120505e-06,0.003088673633245846,0.0
0,4,V,subspace_k32,32,32,1024,26.0,8.0,0.00010815668861655665,0.008140211407525653,2.6094789935796606e-05,0.005595913060380126,0.0
0,4,V,subspace_k48,48,21,1008,26.0,8.0,1.1599728692175706e-06,0.0008378295631915485,5.777191350029098e-07,0.0008356007345921133,0.58984375
