regime,M,rho,hamming_mean,hamming_std,active_mean,active_std
overdetermined,60,0.0,0.4590909090909091,0.04141106172338317,38.75,1.6393596310755
overdetermined,60,1e-06,0.43636363636363634,0.05604012729971796,21.5,5.123475382979799
overdetermined,60,2.310129700083158e-06,0.4318181818181818,0.04522670168666454,12.25,2.165063509461097
overdetermined,60,5.336699231206313e-06,0.4409090909090909,0.05041152957458824,8.75,1.920286436967152
overdetermined,60,1.2328467394420658e-05,0.42272727272727273,0.03491429885394821,8.75,2.0463381929681126
overdetermined,60,2.8480358684358048e-05,0.40454545454545454,0.032461038311558395,8.75,1.7853571071357126
overdetermined,60,6.579332246575683e-05,0.39999999999999997,0.02226808857075615,9.0,1.5811388300841898
overdetermined,60,0.0001519911082952933,0.42727272727272725,0.04895604370122274,7.5,1.5
overdetermined,60,0.0003511191734215131,0.44999999999999996,0.03491429885394821,6.25,0.82915619758885
overdetermined,60,0.0008111308307896872,0.4681818181818182,0.02361887464866649,4.25,1.479019945774904
overdetermined,60,0.001873817422860385,0.4818181818181818,0.015745916432444343,2.0,1.4142135623730951
overdetermined,60,0.004328761281083062,0.5,0.01574591643244432,0.5,0.8660254037844386
overdetermined,60,0.01,0.4909090909090909,0.0,0.0,0.0
critical,10,0.0,0.46818181818181814,0.03491429885394821,35.25,1.299038105676658
critical,10,1e-06,0.4818181818181818,0.0609836721136306,10.5,2.29128784747792
critical,10,2.310129700083158e-06,0.4818181818181818,0.05378254348272378,11.0,3.0
critical,10,5.336699231206313e-06,0.4954545454545454,0.041411061723383165,8.75,0.82915619758885
critical,10,1.2328467394420658e-05,0.4727272727272727,0.053008653589502706,9.0,1.224744871391589
critical,10,2.8480358684358048e-05,0.48636363636363633,0.032461038311558395,6.75,0.82915619758885
critical,10,6.579332246575683e-05,0.47727272727272724,0.03246103831155839,5.75,1.299038105676658
critical,10,0.0001519911082952933,0.4636363636363636,0.037482778414706,5.0,1.224744871391589
critical,10,0.0003511191734215131,0.4590909090909091,0.023618874648666514,2.75,1.7853571071357126
critical,10,0.0008111308307896872,0.4681818181818182,0.029806538746827288,1.75,1.7853571071357126
critical,10,0.001873817422860385,0.4954545454545455,0.007872958216222149,0.75,1.299038105676658
critical,10,0.004328761281083062,0.4909090909090909,0.0,0.5,0.8660254037844386
critical,10,0.01,0.4909090909090909,0.0,0.0,0.0
underdetermined,5,0.0,0.509090909090909,0.03856946079199349,39.5,1.5
underdetermined,5,1e-06,0.4590909090909091,0.052025105192089055,19.75,10.449282272003183
underdetermined,5,2.310129700083158e-06,0.4818181818181818,0.03015113445777635,8.5,4.330127018922194
underdetermined,5,5.336699231206313e-06,0.4954545454545454,0.026891271741361876,5.75,0.4330127018922193
underdetermined,5,1.2328467394420658e-05,0.46818181818181814,0.023618874648666494,5.25,0.82915619758885
underdetermined,5,2.8480358684358048e-05,0.5,0.032777738867854435,5.5,1.118033988749895
underdetermined,5,6.579332246575683e-05,0.49090909090909085,0.01818181818181816,4.0,1.0
underdetermined,5,0.0001519911082952933,0.48636363636363633,0.015075567228888165,3.75,0.82915619758885
underdetermined,5,0.0003511191734215131,0.4818181818181818,0.027272727272727258,3.5,1.118033988749895
underdetermined,5,0.0008111308307896872,0.4954545454545454,0.015075567228888162,2.25,1.299038105676658
underdetermined,5,0.001873817422860385,0.5,0.01574591643244432,1.0,1.0
underdetermined,5,0.004328761281083062,0.509090909090909,0.031491832864888665,2.0,2.449489742783178
underdetermined,5,0.01,0.4909090909090909,0.0,0.0,0.0
